,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
16429,24353343,30108183,De Baarsjes - Oud-West,52.373523236431446,4.864151242328258,Private room,75,2,7,1.08,2,145
16430,24354674,53066913,De Baarsjes - Oud-West,52.35991444564335,4.8498355437386635,Private room,100,2,26,3.32,1,21
16431,24355387,100218152,De Baarsjes - Oud-West,52.36120309180747,4.8582694818178505,Entire home/apt,150,2,6,0.82,1,0
16432,24362175,183850236,Bos en Lommer,52.375496692148246,4.859993397475716,Entire home/apt,200,3,6,0.9,1,7
16433,24362348,183852090,Oostelijk Havengebied - Indische Buurt,52.36386899466393,4.943208341689917,Entire home/apt,130,2,4,1.48,1,3
16434,24363194,6515109,De Pijp - Rivierenbuurt,52.3529816956757,4.902412358161602,Entire home/apt,271,3,7,0.88,1,4
16435,24365824,4141347,Bos en Lommer,52.38433530293941,4.849055812733407,Private room,90,3,11,1.65,1,13
16436,24367384,17420381,De Pijp - Rivierenbuurt,52.34717248246336,4.896104170029813,Entire home/apt,175,3,2,0.31,1,0
16437,24368311,183898001,De Baarsjes - Oud-West,52.36491713976795,4.868773720577872,Private room,180,2,18,3.44,1,13
16438,24370283,44255475,Oud-Noord,52.39149604826158,4.940185366371126,Entire home/apt,150,2,16,2.15,1,0
16439,24371123,183914590,Centrum-West,52.37763818597393,4.89817526663751,Private room,84,2,17,3.13,1,111
16440,24374090,182895101,De Baarsjes - Oud-West,52.37090798695079,4.861493074119802,Entire home/apt,115,3,8,1.04,1,59
16441,24374892,183952617,Watergraafsmeer,52.35780329630179,4.941577259132799,Entire home/apt,175,5,7,0.97,1,0
16442,24382819,17975858,De Pijp - Rivierenbuurt,52.35327358102634,4.905614382675915,Entire home/apt,129,2,1,0.13,1,0
16443,24383671,55294257,Noord-West,52.40495815124777,4.9174297317906595,Entire home/apt,125,3,8,1.06,1,51
16444,24386101,184057258,Oostelijk Havengebied - Indische Buurt,52.361677481082495,4.936609903304624,Entire home/apt,130,3,7,0.95,1,4
16445,24386107,65859990,Centrum-West,52.37658101546753,4.895729184705286,Entire home/apt,175,2,4,0.54,208,2
16446,24386131,184055720,Watergraafsmeer,52.35223766592125,4.933696221807824,Entire home/apt,95,2,6,0.82,1,0
16447,24387461,75329145,De Pijp - Rivierenbuurt,52.34125644320898,4.905967488306932,Private room,65,1,57,7.31,2,120
16448,24389089,17396697,De Pijp - Rivierenbuurt,52.3453492605378,4.897021722588302,Entire home/apt,300,3,3,0.73,1,7
16449,24395184,184035231,De Pijp - Rivierenbuurt,52.35532633426598,4.893898731921195,Private room,34,20,2,0.29,1,0
16450,24402987,8321212,Centrum-West,52.37572734044969,4.9015253285625136,Private room,105,2,7,1.24,2,31
16451,24404064,3599388,De Pijp - Rivierenbuurt,52.352839491784,4.89384404142593,Entire home/apt,140,2,3,0.43,1,0
16452,24416544,742017,Zuid,52.34426618147521,4.8605143664037875,Entire home/apt,100,7,1,0.14,1,249
16453,24417774,74167061,De Aker - Nieuw Sloten,52.34989586254838,4.786807285993017,Private room,50,2,8,1.19,1,3
16454,24417797,184361914,Westerpark,52.37362308366942,4.871860840572647,Entire home/apt,160,2,8,1.05,1,29
16455,24419268,184375325,Bos en Lommer,52.38223382541644,4.854926421478336,Entire home/apt,67,3,2,0.88,1,0
16456,24420113,184383565,Bijlmer-Oost,52.322697068572936,4.966991731360339,Private room,50,2,3,0.4,1,58
16457,24420239,17373992,De Baarsjes - Oud-West,52.35894588222694,4.858912908481614,Entire home/apt,100,3,6,1.08,1,0
16458,24421166,4056014,Westerpark,52.39217551326207,4.8796310558336105,Entire home/apt,130,5,1,0.22,1,0
16459,24422042,46215956,Centrum-West,52.367604225878885,4.890363578570177,Entire home/apt,100,1,8,1.05,1,75
16460,24423776,30729818,Bos en Lommer,52.38102372996466,4.855639532754498,Entire home/apt,140,1,6,0.87,1,0
16461,24423884,184413836,Watergraafsmeer,52.348113879953225,4.929225252259666,Private room,50,1,20,2.71,1,0
16462,24424161,2131687,Watergraafsmeer,52.351162139573425,4.937264766037044,Private room,58,6,3,0.39,1,0
16463,24424994,184432212,Noord-West,52.40924861022963,4.90375677989835,Entire home/apt,250,3,0,,1,0
16464,24426493,88636397,Westerpark,52.38383653326825,4.8692336931295195,Private room,86,1,14,1.83,1,65
16465,24426581,17607060,Oud-Oost,52.35531255138524,4.9105755990422155,Entire home/apt,155,2,12,1.57,1,2
16466,24427675,184459140,Noord-West,52.41098831637176,4.9024894378875175,Entire home/apt,225,2,0,,1,87
16467,24428219,154703645,Geuzenveld - Slotermeer,52.37169001917588,4.820438844321824,Private room,48,2,21,3.07,2,120
16468,24428291,151759692,De Baarsjes - Oud-West,52.364208530355405,4.855891143728047,Private room,65,1,18,2.7,3,354
16469,24434486,1397190,Centrum-West,52.36987920368681,4.880520558829818,Entire home/apt,120,2,4,0.57,1,0
16470,24434594,122902798,IJburg - Zeeburgereiland,52.35427587829541,4.997009886554579,Entire home/apt,145,3,0,,1,2
16471,24435237,42013147,Oud-Oost,52.36023073376125,4.91354314546064,Entire home/apt,120,3,2,0.55,1,0
16472,24435666,2205206,Westerpark,52.389086662219015,4.876829148609148,Entire home/apt,200,6,0,,3,83
16473,24437350,12946231,De Pijp - Rivierenbuurt,52.345779767888494,4.908754100230074,Entire home/apt,99,2,3,0.41,1,0
16474,24437880,60696813,Geuzenveld - Slotermeer,52.38181607523701,4.834751650440468,Entire home/apt,200,4,2,0.55,1,8
16475,24438125,184559266,Oud-Oost,52.35569128578019,4.923145153827117,Entire home/apt,130,3,11,1.54,1,0
16476,24439562,18466046,Bos en Lommer,52.3780911719286,4.854746165920346,Entire home/apt,200,3,6,0.81,2,0
16477,24440215,76104209,De Aker - Nieuw Sloten,52.35078765551547,4.789964799268875,Entire home/apt,400,5,0,,83,364
16478,24441064,1691929,Centrum-West,52.3821795653987,4.881356186483679,Entire home/apt,317,1,0,,1,0
16479,24447976,179832807,Centrum-West,52.369409026774136,4.881534436474323,Private room,200,1,1,0.7,3,102
16480,24450122,184658595,Centrum-West,52.37529470322458,4.894064593412758,Private room,110,3,27,3.62,2,53
16481,24458995,57234499,Buitenveldert - Zuidas,52.32320514977084,4.85757359998748,Entire home/apt,150,2,10,2.29,1,0
16482,24459831,7153017,Bos en Lommer,52.3766690387086,4.849325673744356,Entire home/apt,80,5,2,0.31,1,98
16483,24460447,184753728,Watergraafsmeer,52.354550334861855,4.931449256546362,Entire home/apt,250,2,4,0.64,1,12
16484,24461399,27083129,De Baarsjes - Oud-West,52.362410621887875,4.866476387357793,Entire home/apt,120,2,9,1.17,1,0
16485,24462377,14548042,Watergraafsmeer,52.34369836012819,4.925618167987408,Entire home/apt,200,2,1,0.14,1,27
16486,24463765,58678980,Centrum-Oost,52.36075526208167,4.898268410654956,Entire home/apt,170,1,2,0.26,1,88
16487,24464896,22790802,Zuid,52.3522069517116,4.861131224757944,Entire home/apt,119,1,0,,1,235
16488,24467672,148036304,Bos en Lommer,52.37537069265229,4.859440220996221,Entire home/apt,180,2,0,,1,64
16489,24467864,165360143,De Baarsjes - Oud-West,52.36824478479737,4.872343107382881,Entire home/apt,169,2,10,1.3,1,135
16490,24470138,103306745,Centrum-West,52.37246794468741,4.877836911059892,Entire home/apt,130,1,15,1.92,1,305
16491,24470353,10696560,Oud-Oost,52.360260345706585,4.929100602274685,Entire home/apt,140,2,11,1.59,1,17
16492,24472148,911212,Zuid,52.350822263519895,4.847348274961732,Entire home/apt,110,3,1,0.13,1,0
16493,24479166,184916416,De Baarsjes - Oud-West,52.362357486745395,4.861616489029599,Entire home/apt,85,3,2,0.26,1,0
16494,24484429,175450855,De Pijp - Rivierenbuurt,52.343957506071376,4.90755436052881,Entire home/apt,75,3,1,0.13,2,0
16495,24486840,184964490,Oud-Noord,52.39229693270388,4.930367473359573,Entire home/apt,145,2,15,2.22,1,0
16496,24489836,18466046,Bos en Lommer,52.37812131563614,4.853187091174664,Private room,80,2,5,0.75,2,2
16497,24496718,185047879,Oud-Noord,52.38384576337199,4.908351113713132,Entire home/apt,385,3,3,0.41,1,73
16498,24504360,24023479,Centrum-West,52.37887478746964,4.880979133173586,Entire home/apt,220,3,13,1.89,1,128
16499,24504825,55156893,Oud-Oost,52.359813724669834,4.914183542326482,Entire home/apt,150,2,1,0.19,1,0
16500,24505163,129536828,Centrum-Oost,52.36338534051061,4.884827458682881,Private room,89,2,38,5.48,2,163
16501,24505638,35473792,Westerpark,52.384223051241506,4.872852036190121,Entire home/apt,66,2,14,2.22,1,4
16502,24506238,185129708,Centrum-West,52.37400365852338,4.886842836885999,Entire home/apt,210,1,25,3.73,1,154
16503,24507312,65859990,De Baarsjes - Oud-West,52.36310408888238,4.876315612728742,Entire home/apt,175,2,12,1.94,208,0
16504,24507891,1447164,Centrum-West,52.385956723668194,4.891153173444966,Entire home/apt,150,30,1,0.13,1,41
16505,24509149,7320739,De Baarsjes - Oud-West,52.367040995220336,4.874200727917458,Entire home/apt,170,3,5,0.68,1,7
16506,24509727,185153295,IJburg - Zeeburgereiland,52.353603621138355,4.999466808898874,Entire home/apt,99,3,1,0.14,1,0
16507,24514464,174417042,Watergraafsmeer,52.34020244307599,4.920714424457155,Entire home/apt,150,2,1,0.15,1,0
16508,24515712,71460222,Centrum-West,52.37542561834942,4.897067654337633,Entire home/apt,152,2,16,2.41,1,0
16509,24518056,185210293,Zuid,52.34576271210018,4.856058024621957,Entire home/apt,250,2,4,0.6,1,70
16510,24518354,839180,Centrum-Oost,52.36261693052823,4.887359670883693,Entire home/apt,250,2,8,1.11,1,0
16511,24528262,32748940,Watergraafsmeer,52.34001064385186,4.948116848194862,Entire home/apt,100,2,4,0.98,1,0
16512,24528823,125924874,Bijlmer-Centrum,52.318902968800195,4.944605524696007,Entire home/apt,85,2,10,1.4,1,0
16513,24529894,11186908,Watergraafsmeer,52.35082905751344,4.918592704690777,Entire home/apt,85,1,0,,1,0
16514,24531162,15391216,De Baarsjes - Oud-West,52.36144643119735,4.860020737739891,Entire home/apt,142,3,3,0.53,1,18
16515,24531525,14428319,Watergraafsmeer,52.351634099847985,4.937248952357657,Private room,99,1,29,3.8,1,151
16516,24531839,31723933,Bos en Lommer,52.376512944614234,4.8382192518172475,Entire home/apt,149,3,9,1.23,2,23
16517,24533067,65859990,Zuid,52.34776920995001,4.8608594973795345,Entire home/apt,175,2,3,0.43,208,0
16518,24533212,24441095,Geuzenveld - Slotermeer,52.37440519913961,4.820775287596758,Entire home/apt,140,9,3,0.39,1,0
16519,24534357,25740230,IJburg - Zeeburgereiland,52.35493227913518,5.002139859013469,Entire home/apt,285,4,1,0.26,1,90
16520,24534457,6196544,Centrum-Oost,52.369018491485775,4.917829945109073,Private room,80,7,1,0.16,1,0
16521,24535432,3032235,Oud-Oost,52.3564657010883,4.9082346439786875,Entire home/apt,145,2,7,1.01,1,5
16522,24535614,185328828,Centrum-West,52.37535800678572,4.90101396351257,Private room,68,1,7,0.93,1,0
16523,24538687,70535893,IJburg - Zeeburgereiland,52.36284354129105,4.959950153159316,Private room,159,2,15,3.21,2,358
16524,24546362,24416286,De Pijp - Rivierenbuurt,52.35153116625583,4.888571644327478,Private room,53,3,17,2.28,3,6
16525,24548904,7708231,Westerpark,52.3893336339445,4.878846201671734,Private room,90,2,3,0.41,1,0
16526,24549542,94326584,Watergraafsmeer,52.35370679154365,4.926414071667183,Entire home/apt,225,4,2,0.47,1,0
16527,24549867,17632270,Westerpark,52.37996705793878,4.874654134579439,Entire home/apt,142,2,4,0.56,1,33
16528,24550602,11895359,Centrum-Oost,52.36495288939727,4.921038585258905,Entire home/apt,200,1,15,2.16,2,0
16529,24552965,10893215,Zuid,52.35456601582896,4.84783429214295,Entire home/apt,150,2,11,1.49,1,0
16530,24554234,1282144,Centrum-Oost,52.3616291716144,4.890238119898242,Entire home/apt,150,2,16,2.14,1,306
16531,24554245,185500463,De Pijp - Rivierenbuurt,52.349410189392856,4.910180492520823,Entire home/apt,150,2,5,0.68,1,1
16532,24556511,90127191,Centrum-West,52.372050968365855,4.88171205088699,Private room,359,3,38,5.16,1,173
16533,24556731,185514885,Centrum-West,52.377412993402885,4.8949625748095995,Entire home/apt,200,2,7,0.95,1,0
16534,24564226,2480313,Watergraafsmeer,52.33947207068383,4.918665384788838,Entire home/apt,250,3,0,,1,67
16535,24565009,185603500,IJburg - Zeeburgereiland,52.375451683653814,4.9635971316896965,Entire home/apt,180,2,4,0.96,1,1
16536,24567450,104589637,Noord-West,52.420370093442706,4.8998057778012925,Private room,50,2,10,1.34,1,14
16537,24567873,43718573,Bos en Lommer,52.37706739354232,4.850939339128215,Entire home/apt,120,2,13,1.75,1,7
16538,24570182,15083531,Zuid,52.35288668158184,4.884777029814329,Entire home/apt,175,3,6,0.81,1,169
16539,24570681,128237865,De Pijp - Rivierenbuurt,52.34634255877111,4.900530739301787,Entire home/apt,175,3,7,0.99,2,16
16540,24570985,32879009,Centrum-Oost,52.37278366818485,4.908712480758259,Entire home/apt,100,3,11,1.5,1,6
16541,24571159,18797783,De Baarsjes - Oud-West,52.36298851046452,4.86140591263263,Entire home/apt,195,2,3,0.47,1,35
16542,24571176,90747703,De Baarsjes - Oud-West,52.37453871963982,4.861470261322388,Entire home/apt,130,2,8,1.05,1,0
16543,24573082,10890301,De Pijp - Rivierenbuurt,52.35484466841306,4.886954070717358,Entire home/apt,85,3,5,1.85,1,60
